Date;Zone Name;% Electric Cars;Average Consumption (kWh/km);Average Daily Distance (km/day)
01/01/2012;Zone A;0.35;0.05242451;35.93
02/01/2012;Zone A;0.35;0.05242023;35.93
03/01/2012;Zone A;0.35;0.05241595;35.93
04/01/2012;Zone A;0.35;0.05241167;35.93
05/01/2012;Zone A;0.35;0.05240739;35.93
06/01/2012;Zone A;0.35;0.05240311;35.93
07/01/2012;Zone A;0.35;0.05239883;35.94
08/01/2012;Zone A;0.35;0.05239455;35.94
09/01/2012;Zone A;0.35;0.05239027;35.94
10/01/2012;Zone A;0.35;0.05238599;35.94
11/01/2012;Zone A;0.35;0.05238171;35.94
12/01/2012;Zone A;0.35;0.05237743;35.94
13/01/2012;Zone A;0.35;0.05237315;35.94
14/01/2012;Zone A;0.35;0.05236888;35.94
15/01/2012;Zone A;0.35;0.0523646;35.94
16/01/2012;Zone A;0.35;0.05236032;35.94
17/01/2012;Zone A;0.35;0.05235605;35.94
18/01/2012;Zone A;0.35;0.05235177;35.94
19/01/2012;Zone A;0.35;0.05234749;35.95
20/01/2012;Zone A;0.35;0.05234322;35.95
21/01/2012;Zone A;0.35;0.05233894;35.95
22/01/2012;Zone A;0.35;0.05233467;35.95
23/01/2012;Zone A;0.35;0.05233039;35.95
24/01/2012;Zone A;0.35;0.05232612;35.95
25/01/2012;Zone A;0.35;0.05232184;35.95
26/01/2012;Zone A;0.35;0.05231757;35.95
27/01/2012;Zone A;0.35;0.0523133;35.95
28/01/2012;Zone A;0.35;0.05230902;35.95
29/01/2012;Zone A;0.35;0.05230475;35.95
30/01/2012;Zone A;0.35;0.05230048;35.95
31/01/2012;Zone A;0.35;0.05229621;35.96
01/02/2012;Zone A;0.35;0.05229194;35.96
02/02/2012;Zone A;0.35;0.05228767;35.96
03/02/2012;Zone A;0.35;0.0522834;35.96
04/02/2012;Zone A;0.35;0.05227912;35.96
05/02/2012;Zone A;0.35;0.05227485;35.96
06/02/2012;Zone A;0.35;0.05227058;35.96
07/02/2012;Zone A;0.35;0.05226632;35.96
08/02/2012;Zone A;0.35;0.05226205;35.96
09/02/2012;Zone A;0.35;0.05225778;35.96
10/02/2012;Zone A;0.35;0.05225351;35.96
11/02/2012;Zone A;0.35;0.05224924;35.96
