Date;Zone Name;Rainy Day;Population;Median Salary (EUR);Shops per 1k hab;Hospitals per 1M hab;Childcare per 100 children under 3 y.o.;Public_Transport_Quality;Infrastructure_Quality;Traffic
01/01/2012;Zone A;0;37489.3834;2028.4367;46.9499;45.8929;15.8448;0.063;0.1187;18693.0
02/01/2012;Zone A;1;37489.4073;2028.4421;46.9491;45.8939;15.8445;0.063;0.1187;18337.0
03/01/2012;Zone A;1;37489.4312;2028.4474;46.9483;45.8948;15.8442;0.063;0.1187;18337.0
04/01/2012;Zone A;1;37489.4551;2028.4528;46.9475;45.8958;15.8439;0.063;0.1187;18337.0
05/01/2012;Zone A;0;37489.479;2028.4581;46.9468;45.8967;15.8436;0.0631;0.1188;17803.0
06/01/2012;Zone A;0;37489.5029;2028.4635;46.946;45.8977;15.8433;0.0631;0.1188;17803.0
07/01/2012;Zone A;0;37489.5268;2028.4688;46.9452;45.8987;15.843;0.0631;0.1188;18693.0
08/01/2012;Zone A;1;37489.5507;2028.4742;46.9445;45.8996;15.8427;0.0631;0.1188;19253.0
09/01/2012;Zone A;1;37489.5746;2028.4796;46.9437;45.9006;15.8424;0.0631;0.1188;18337.0
10/01/2012;Zone A;1;37489.5985;2028.4849;46.9429;45.9015;15.842;0.0631;0.1188;18337.0
11/01/2012;Zone A;1;37489.6224;2028.4903;46.9422;45.9025;15.8417;0.0631;0.1188;18337.0
12/01/2012;Zone A;1;37489.6463;2028.4956;46.9414;45.9035;15.8414;0.0631;0.1188;18337.0
13/01/2012;Zone A;0;37489.6702;2028.501;46.9406;45.9044;15.8411;0.0631;0.1188;17803.0
14/01/2012;Zone A;0;37489.6942;2028.5064;46.9398;45.9054;15.8408;0.0631;0.1188;18693.0
15/01/2012;Zone A;0;37489.7181;2028.5117;46.9391;45.9063;15.8405;0.0631;0.1189;18693.0
16/01/2012;Zone A;0;37489.742;2028.5171;46.9383;45.9073;15.8402;0.0631;0.1189;17803.0
17/01/2012;Zone A;1;37489.7659;2028.5225;46.9375;45.9083;15.8399;0.0631;0.1189;18337.0
18/01/2012;Zone A;0;37489.7898;2028.5278;46.9368;45.9092;15.8396;0.0632;0.1189;17803.0
19/01/2012;Zone A;1;37489.8137;2028.5332;46.936;45.9102;15.8393;0.0632;0.1189;18337.0
20/01/2012;Zone A;0;37489.8376;2028.5386;46.9352;45.9111;15.839;0.0632;0.1189;17803.0
21/01/2012;Zone A;0;37489.8615;2028.544;46.9345;45.9121;15.8387;0.0632;0.1189;18693.0
22/01/2012;Zone A;1;37489.8854;2028.5493;46.9337;45.9131;15.8383;0.0632;0.1189;19254.0
23/01/2012;Zone A;0;37489.9093;2028.5547;46.9329;45.914;15.838;0.0632;0.1189;17803.0
24/01/2012;Zone A;1;37489.9332;2028.5601;46.9321;45.915;15.8377;0.0632;0.1189;18337.0
25/01/2012;Zone A;0;37489.9571;2028.5655;46.9314;45.9159;15.8374;0.0632;0.119;17803.0
26/01/2012;Zone A;0;37489.981;2028.5708;46.9306;45.9169;15.8371;0.0632;0.119;17803.0
27/01/2012;Zone A;1;37490.0049;2028.5762;46.9298;45.9179;15.8368;0.0632;0.119;18337.0
28/01/2012;Zone A;0;37490.0288;2028.5816;46.9291;45.9188;15.8365;0.0632;0.119;18693.0
29/01/2012;Zone A;0;37490.0527;2028.587;46.9283;45.9198;15.8362;0.0632;0.119;18693.0
30/01/2012;Zone A;0;37490.0766;2028.5923;46.9275;45.9207;15.8359;0.0632;0.119;17803.0
31/01/2012;Zone A;1;37490.1005;2028.5977;46.9268;45.9217;15.8356;0.0633;0.119;18337.0
01/02/2012;Zone A;0;37490.1244;2028.6031;46.926;45.9227;15.8353;0.0633;0.119;17803.0
02/02/2012;Zone A;1;37490.1484;2028.6085;46.9252;45.9236;15.8349;0.0633;0.119;18337.0
03/02/2012;Zone A;1;37490.1723;2028.6139;46.9245;45.9246;15.8346;0.0633;0.119;18337.0
04/02/2012;Zone A;1;37490.1962;2028.6193;46.9237;45.9255;15.8343;0.0633;0.1191;19254.0
05/02/2012;Zone A;1;37490.2201;2028.6247;46.9229;45.9265;15.834;0.0633;0.1191;19254.0
06/02/2012;Zone A;1;37490.244;2028.63;46.9221;45.9275;15.8337;0.0633;0.1191;18337.0
07/02/2012;Zone A;0;37490.2679;2028.6354;46.9214;45.9284;15.8334;0.0633;0.1191;17803.0
08/02/2012;Zone A;1;37490.2918;2028.6408;46.9206;45.9294;15.8331;0.0633;0.1191;18337.0
09/02/2012;Zone A;1;37490.3157;2028.6462;46.9198;45.9303;15.8328;0.0633;0.1191;18337.0
10/02/2012;Zone A;1;37490.3396;2028.6516;46.9191;45.9313;15.8325;0.0633;0.1191;18337.0
11/02/2012;Zone A;0;37490.3635;2028.657;46.9183;45.9323;15.8322;0.0633;0.1191;18693.0
12/02/2012;Zone A;0;37490.3874;2028.6624;46.9175;45.9332;15.8319;0.0633;0.1191;18693.0
13/02/2012;Zone A;1;37490.4113;2028.6678;46.9168;45.9342;15.8316;0.0634;0.1191;18337.0
14/02/2012;Zone A;1;37490.4352;2028.6732;46.916;45.9351;15.8312;0.0634;0.1192;18337.0
15/02/2012;Zone A;1;37490.4591;2028.6786;46.9152;45.9361;15.8309;0.0634;0.1192;18337.0
16/02/2012;Zone A;1;37490.483;2028.684;46.9144;45.9371;15.8306;0.0634;0.1192;18337.0
17/02/2012;Zone A;1;37490.5069;2028.6894;46.9137;45.938;15.8303;0.0634;0.1192;18337.0
18/02/2012;Zone A;0;37490.5308;2028.6948;46.9129;45.939;15.83;0.0634;0.1192;18693.0
19/02/2012;Zone A;1;37490.5547;2028.7002;46.9121;45.9399;15.8297;0.0634;0.1192;19254.0
20/02/2012;Zone A;0;37490.5787;2028.7056;46.9114;45.9409;15.8294;0.0634;0.1192;17803.0
21/02/2012;Zone A;1;37490.6026;2028.711;46.9106;45.9419;15.8291;0.0634;0.1192;18337.0
22/02/2012;Zone A;0;37490.6265;2028.7164;46.9098;45.9428;15.8288;0.0634;0.1192;17803.0
23/02/2012;Zone A;0;37490.6504;2028.7218;46.9091;45.9438;15.8285;0.0634;0.1192;17803.0
24/02/2012;Zone A;0;37490.6743;2028.7272;46.9083;45.9448;15.8282;0.0634;0.1193;17804.0
25/02/2012;Zone A;1;37490.6982;2028.7326;46.9075;45.9457;15.8278;0.0634;0.1193;19254.0
26/02/2012;Zone A;1;37490.7221;2028.738;46.9068;45.9467;15.8275;0.0635;0.1193;19254.0
